symbol,year,growth_rate
MOS,2016,0.019562544734330757
ABC,2015,0.008588727506701428
FCX,2022,0.02377961005897147
CBOE,2013,0.009664966420683197
WDC,2016,0.01870528470790678
SWKS,2017,0.009476460168713466
MLM,2017,0.010682617753233349
WAT,2015,0.008653929965990697
HES,2020,0.023271077698120146
ADSK,2013,0.011713832216667018
MS,2019,0.009517000153349955
CERN,2014,0.009545853794588636
UDR,2013,0.008678962848044052
TAP,2015,0.009286748522152078
EPAM,2020,0.016835451030955687
BLL,2016,0.008273805719236407
AMP,2015,0.008171467032301188
FE,2014,0.009512171598545203
CMI,2022,0.015713186007433707
TSCO,2017,0.01065228596188351
LNT,2016,0.008548047206926921
ABC,2020,0.01514736358227782
EOG,2022,0.019144838662053906
DHI,2019,0.011847200469608372
KMI,2016,0.01549097663113373
FIS,2017,0.005380814901940601
GOOGL,2015,0.009191550407030583
ADP,2017,0.006980603447466578
CMI,2018,0.009621560374850536
EXPD,2016,0.008317488196714958
PCAR,2016,0.011150669430515217
CAG,2016,0.008279055182436426
ENPH,2021,0.026207203355433552
K,2020,0.012028973663120834
IFF,2022,0.013018480171758426
CI,2021,0.011099630740146431
SPGI,2016,0.008910309145584905
BKR,2020,0.02207945688743933
TRV,2017,0.005370272322867899
IRM,2014,0.00995878616395276
IPG,2016,0.008944183117506155
MPC,2021,0.014818385860663866
ALGN,2017,0.0117036297334272
SBAC,2016,0.010652616644229913
ADBE,2017,0.007317991955627365
STX,2017,0.012227756093674933
ABBV,2020,0.012622263073671921
DTE,2014,0.007369185841089131
LKQ,2020,0.017550930160659117
ATVI,2013,0.012051132413180886
ANTM,2021,0.010716799846165104
BKR,2022,0.02598783068940252
SWKS,2014,0.013641871483838929
AFL,2018,0.009395445296603792
WYNN,2018,0.018234243900919055
IEX,2019,0.008128842422753881
MTD,2013,0.009578649230420497
DISH,2015,0.010599791351192772
STX,2016,0.018160049933807303
ROK,2013,0.008876536323945963
RF,2017,0.010212423490399743
ATO,2022,0.011280465230324634
KMB,2019,0.007781712989484807
HOLX,2017,0.008317622697490003
CAH,2014,0.008119027892998466
SWKS,2013,0.012621525987507718
HON,2018,0.0076385275881630035
HSIC,2022,0.014463547713399184
XRAY,2022,0.01430329439552937
HIG,2022,0.013646648026450619
LIN,2019,0.006725349758218961
MDLZ,2015,0.008553342445346173
NWL,2020,0.018490770680338067
JCI,2021,0.009887354473654334
ETN,2019,0.00797676488787325
SCHW,2017,0.00905204684291057
PSA,2014,0.006180596384187686
CAH,2017,0.008798091646476021
INTU,2019,0.009357889524420248
MMM,2013,0.006411020207077143
AIZ,2018,0.0075194032859588495
RMD,2018,0.012852947163337089
CERN,2013,0.009593444577879874
MTB,2014,0.006619525622370527
SYK,2013,0.006194270716567172
JBHT,2018,0.011535677220136504
AIG,2018,0.008712133484529124
FCX,2015,0.020998034738026743
PNW,2014,0.008002945666865829
JNJ,2017,0.005691245252105463
EXC,2013,0.008497329858983901
SLB,2013,0.008132839474847506
LYV,2019,0.010567942500298166
CAG,2014,0.006754532651617303
ADSK,2019,0.011888387965012714
MKC,2017,0.006614270948582067
DOV,2015,0.0109021034624002
BDX,2016,0.007458960833704889
AXP,2014,0.0068109180187673965
NKE,2015,0.007423782952858738
MLM,2013,0.010348098847999301
FRT,2020,0.0176275556400877
QCOM,2016,0.009975612300356458
GWW,2019,0.010589712243009709
NRG,2016,0.022717977301788546
GLW,2020,0.01411090912337747
GM,2020,0.01777703307905034
NDAQ,2021,0.008669534073390783
FE,2013,0.008119119710172025
ILMN,2018,0.010246815519885218
ULTA,2014,0.012219742187051885
LRCX,2017,0.009765723288522392
MSFT,2013,0.008996397968974681
FOXA,2021,0.015293460248128605
VRSK,2013,0.008186844518667979
DVA,2021,0.011411529736233406
HBAN,2015,0.009019349496912864
MPC,2017,0.009605542862527008
CVS,2019,0.008975788817285713
CI,2018,0.011062679119568332
CBOE,2018,0.011320515877571616
IDXX,2014,0.009121099608916978
CHD,2013,0.006654417510917924
MLM,2019,0.011045831670456524
A,2013,0.009357040077969982
BRK.B,2015,0.0053749104210359085
HWM,2021,0.014121398215829275
AXP,2018,0.007789082204078147
KLAC,2014,0.00932497726271409
GILD,2021,0.009841399977152507
MRO,2016,0.024350256074937526
DOV,2020,0.013168112996487473
PPG,2014,0.00799680214608708
CTRA,2022,0.021591082570036675
FITB,2019,0.010342112837137075
DLR,2018,0.010828007809208205
WDC,2015,0.011460506007511164
WRK,2018,0.01198362562430161
HSIC,2017,0.007594700864548267
CAT,2017,0.007422404763265836
C,2018,0.0096528132033007
UAA,2018,0.023159932124297577
CDNS,2019,0.010263093205431666
FDX,2014,0.007689276237576706
WY,2016,0.010095679324526145
LLY,2017,0.007405690476219038
FTNT,2020,0.018094461873402436
BA,2018,0.016882984397453588
IBM,2014,0.006699110994218758
KHC,2016,0.007797477479445962
TDG,2013,0.009373613784012285
MCO,2022,0.012440780110383251
CME,2013,0.009694993680298258
HCA,2021,0.012229193289934456
PFG,2016,0.009899716256454479
AON,2017,0.005643516417789834
MCHP,2019,0.011840967861003446
CEG,2020,
DRI,2018,0.009253786187576723
EPAM,2019,0.011225043582918776
CTAS,2018,0.00832496181830247
DTE,2015,0.008142089661013594
IR,2021,0.012015338678844172
DD,2021,0.011757069086650421
NEM,2019,0.011463776293151973
JNPR,2017,0.009109305049342065
LEN,2019,0.011982249164741107
LLY,2018,0.009665741204314807
